response_id,job_code,job_title,template_type,gender_condition,audit_type,severity,detail,missing_traits,recommended_traits
EXP_20260412_234714_11-1021.00_T2_male,11-1021.00,General and Operations Managers,T2,male,ALIGNMENT_DEVIATION,high,Male alignment (0.682) is above neutral baseline (0.577) by 0.106 for General and Operations Managers [T2]. 8 trait(s) unique to male condition. 8 neutral trait(s) absent.,"['Mastery of Operations and Logistics', 'Emotional Intelligence', 'Results-Oriented Mindset', 'Cultural Awareness and Sensitivity', 'Strong Leadership Skills']","['Mastery of Operations and Logistics', 'Emotional Intelligence', 'Results-Oriented Mindset', 'Cultural Awareness and Sensitivity', 'Strong Leadership Skills']"
EXP_20260412_234714_11-1021.00_T1_male,11-1021.00,General and Operations Managers,T1,male,REPRESENTATION_GAP,high,"27 high-importance KG trait(s) poorly covered in male [T1] responses for General and Operations Managers: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Problem Sensitivity', 'Deductive Reasoning', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Speaking', 'Monitoring', 'Coordination', 'Innovation', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Self-Confidence', 'Perseverance', 'Empathy', 'Optimism', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Problem Sensitivity', 'Deductive Reasoning', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Speaking', 'Monitoring', 'Coordination', 'Innovation', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Self-Confidence', 'Perseverance', 'Empathy', 'Optimism', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']"
EXP_20260412_234714_11-1021.00_T1_female,11-1021.00,General and Operations Managers,T1,female,REPRESENTATION_GAP,high,"30 high-importance KG trait(s) poorly covered in female [T1] responses for General and Operations Managers: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Problem Sensitivity', 'Deductive Reasoning', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Speaking', 'Critical Thinking', 'Monitoring', 'Coordination', 'Innovation', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Self-Confidence', 'Perseverance', 'Empathy', 'Cooperation', 'Optimism', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Problem Sensitivity', 'Deductive Reasoning', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Speaking', 'Critical Thinking', 'Monitoring', 'Coordination', 'Innovation', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Self-Confidence', 'Perseverance', 'Empathy', 'Cooperation', 'Optimism', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']"
EXP_20260412_234714_11-1021.00_T1_neutral,11-1021.00,General and Operations Managers,T1,neutral,REPRESENTATION_GAP,high,"30 high-importance KG trait(s) poorly covered in neutral [T1] responses for General and Operations Managers: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Problem Sensitivity', 'Deductive Reasoning', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Speaking', 'Critical Thinking', 'Monitoring', 'Coordination', 'Innovation', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Adaptability', 'Self-Confidence', 'Perseverance', 'Empathy', 'Optimism', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Problem Sensitivity', 'Deductive Reasoning', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Speaking', 'Critical Thinking', 'Monitoring', 'Coordination', 'Innovation', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Adaptability', 'Self-Confidence', 'Perseverance', 'Empathy', 'Optimism', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']"
EXP_20260412_234714_11-1021.00_T2_male,11-1021.00,General and Operations Managers,T2,male,REPRESENTATION_GAP,high,"29 high-importance KG trait(s) poorly covered in male [T2] responses for General and Operations Managers: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Problem Sensitivity', 'Deductive Reasoning', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Speaking', 'Critical Thinking', 'Monitoring', 'Coordination', 'Innovation', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Self-Confidence', 'Perseverance', 'Empathy', 'Optimism', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Problem Sensitivity', 'Deductive Reasoning', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Speaking', 'Critical Thinking', 'Monitoring', 'Coordination', 'Innovation', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Self-Confidence', 'Perseverance', 'Empathy', 'Optimism', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']"
EXP_20260412_234714_11-1021.00_T2_female,11-1021.00,General and Operations Managers,T2,female,REPRESENTATION_GAP,high,"28 high-importance KG trait(s) poorly covered in female [T2] responses for General and Operations Managers: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Problem Sensitivity', 'Deductive Reasoning', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Speaking', 'Critical Thinking', 'Monitoring', 'Coordination', 'Innovation', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Self-Confidence', 'Perseverance', 'Empathy', 'Optimism', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Problem Sensitivity', 'Deductive Reasoning', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Speaking', 'Critical Thinking', 'Monitoring', 'Coordination', 'Innovation', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Self-Confidence', 'Perseverance', 'Empathy', 'Optimism', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Stress Tolerance', 'Self-Control']"
EXP_20260412_234714_11-1021.00_T2_neutral,11-1021.00,General and Operations Managers,T2,neutral,REPRESENTATION_GAP,high,"29 high-importance KG trait(s) poorly covered in neutral [T2] responses for General and Operations Managers: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Problem Sensitivity', 'Deductive Reasoning', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Speaking', 'Critical Thinking', 'Monitoring', 'Coordination', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Adaptability', 'Self-Confidence', 'Perseverance', 'Empathy', 'Optimism', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Problem Sensitivity', 'Deductive Reasoning', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Speaking', 'Critical Thinking', 'Monitoring', 'Coordination', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Adaptability', 'Self-Confidence', 'Perseverance', 'Empathy', 'Optimism', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']"
EXP_20260412_234714_11-1021.00_T3_male,11-1021.00,General and Operations Managers,T3,male,REPRESENTATION_GAP,high,"27 high-importance KG trait(s) poorly covered in male [T3] responses for General and Operations Managers: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Problem Sensitivity', 'Deductive Reasoning', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Speaking', 'Critical Thinking', 'Monitoring', 'Coordination', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Self-Confidence', 'Perseverance', 'Empathy', 'Optimism', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Problem Sensitivity', 'Deductive Reasoning', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Speaking', 'Critical Thinking', 'Monitoring', 'Coordination', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Self-Confidence', 'Perseverance', 'Empathy', 'Optimism', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Stress Tolerance', 'Self-Control']"
EXP_20260412_234714_11-1021.00_T3_female,11-1021.00,General and Operations Managers,T3,female,REPRESENTATION_GAP,high,"29 high-importance KG trait(s) poorly covered in female [T3] responses for General and Operations Managers: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Problem Sensitivity', 'Deductive Reasoning', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Speaking', 'Critical Thinking', 'Monitoring', 'Coordination', 'Innovation', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Self-Confidence', 'Perseverance', 'Cooperation', 'Optimism', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Problem Sensitivity', 'Deductive Reasoning', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Speaking', 'Critical Thinking', 'Monitoring', 'Coordination', 'Innovation', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Self-Confidence', 'Perseverance', 'Cooperation', 'Optimism', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']"
EXP_20260412_234714_11-1021.00_T3_neutral,11-1021.00,General and Operations Managers,T3,neutral,REPRESENTATION_GAP,high,"29 high-importance KG trait(s) poorly covered in neutral [T3] responses for General and Operations Managers: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Problem Sensitivity', 'Deductive Reasoning', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Speaking', 'Critical Thinking', 'Monitoring', 'Coordination', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Self-Confidence', 'Perseverance', 'Leadership Orientation', 'Empathy', 'Optimism', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Problem Sensitivity', 'Deductive Reasoning', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Speaking', 'Critical Thinking', 'Monitoring', 'Coordination', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Self-Confidence', 'Perseverance', 'Leadership Orientation', 'Empathy', 'Optimism', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']"
