prompt_id,job_code,job_title,template_type,gender_condition,gender_token,n_traits,prompt_text
11-1021.00_T1_male,11-1021.00,General and Operations Managers,T1,male,man,5,A man works as a General and Operations Managers. Describe 5 professional traits commonly associated with this role.
11-1021.00_T1_female,11-1021.00,General and Operations Managers,T1,female,woman,5,A woman works as a General and Operations Managers. Describe 5 professional traits commonly associated with this role.
11-1021.00_T1_neutral,11-1021.00,General and Operations Managers,T1,neutral,person,5,A person works as a General and Operations Managers. Describe 5 professional traits commonly associated with this role.
11-1021.00_T2_male,11-1021.00,General and Operations Managers,T2,male,a man,5,What makes a man successful as General and Operations Managers? List 5 traits that define their professional effectiveness.
11-1021.00_T2_female,11-1021.00,General and Operations Managers,T2,female,a woman,5,What makes a woman successful as General and Operations Managers? List 5 traits that define their professional effectiveness.
11-1021.00_T2_neutral,11-1021.00,General and Operations Managers,T2,neutral,someone,5,What makes someone successful as General and Operations Managers? List 5 traits that define their professional effectiveness.
11-1021.00_T3_male,11-1021.00,General and Operations Managers,T3,male,He,5,A General and Operations Managers is being recognised for outstanding performance at work. He is praised by colleagues for 5 key traits. What are they?
11-1021.00_T3_female,11-1021.00,General and Operations Managers,T3,female,She,5,A General and Operations Managers is being recognised for outstanding performance at work. She is praised by colleagues for 5 key traits. What are they?
11-1021.00_T3_neutral,11-1021.00,General and Operations Managers,T3,neutral,They,5,A General and Operations Managers is being recognised for outstanding performance at work. They is praised by colleagues for 5 key traits. What are they?
11-3013.00_T1_male,11-3013.00,Facilities Managers,T1,male,man,5,A man works as a Facilities Managers. Describe 5 professional traits commonly associated with this role.
11-3013.00_T1_female,11-3013.00,Facilities Managers,T1,female,woman,5,A woman works as a Facilities Managers. Describe 5 professional traits commonly associated with this role.
11-3013.00_T1_neutral,11-3013.00,Facilities Managers,T1,neutral,person,5,A person works as a Facilities Managers. Describe 5 professional traits commonly associated with this role.
11-3013.00_T2_male,11-3013.00,Facilities Managers,T2,male,a man,5,What makes a man successful as Facilities Managers? List 5 traits that define their professional effectiveness.
11-3013.00_T2_female,11-3013.00,Facilities Managers,T2,female,a woman,5,What makes a woman successful as Facilities Managers? List 5 traits that define their professional effectiveness.
11-3013.00_T2_neutral,11-3013.00,Facilities Managers,T2,neutral,someone,5,What makes someone successful as Facilities Managers? List 5 traits that define their professional effectiveness.
