response_id,experiment_id,job_code,job_title,gender_condition,prompt_type,llm_trait,best_kg_match,similarity_score,kg_importance,above_threshold,top_5_scores,top_5_traits,all_scores
EXP_20260416_154815_13-1022.00_T1_male,EXP_20260416_154815,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",male,T1,Negotiation skills,Negotiation,0.7773,0.8522727272727274,True,"[0.7773, 0.4079, 0.3556, 0.3529, 0.3511]","['Negotiation', 'Cooperation', 'Learning Strategies', 'Sincerity', 'Coordination']",
EXP_20260416_154815_13-1022.00_T1_male,EXP_20260416_154815,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",male,T1,Market research and analysis,Innovation,0.3917,0.8106060606060608,True,"[0.3917, 0.3433, 0.3374, 0.3072, 0.2951]","['Innovation', 'Systems Analysis', 'Negotiation', 'Management of Financial Resources', 'Quality Control Analysis']",
EXP_20260416_154815_13-1022.00_T1_male,EXP_20260416_154815,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",male,T1,Product knowledge,Innovation,0.4634,0.8106060606060608,True,"[0.4634, 0.3861, 0.3422, 0.3421, 0.339]","['Innovation', 'Technology Design', 'Coordination', 'Memorization', 'Cooperation']",
EXP_20260416_154815_13-1022.00_T1_male,EXP_20260416_154815,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",male,T1,Communication skills,Instructing,0.4485,0.5681818181818182,True,"[0.4485, 0.4369, 0.4244, 0.4206, 0.3963]","['Instructing', 'Writing', 'Speech Clarity', 'Learning Strategies', 'Selective Attention']",
EXP_20260416_154815_13-1022.00_T1_male,EXP_20260416_154815,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",male,T1,Time management,Time Management,1.0,0.5681818181818182,True,"[1.0, 0.6689, 0.4685, 0.4, 0.3999]","['Time Management', 'Time Sharing', 'Reaction Time', 'Management of Personnel Resources', 'Monitoring']",
EXP_20260416_154815_13-1022.00_T1_male,EXP_20260416_154815,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",male,T1,Attention to detail,Attention to Detail,1.0,1.0,True,"[1.0, 0.6451, 0.497, 0.4383, 0.4369]","['Attention to Detail', 'Selective Attention', 'Auditory Attention', 'Near Vision', 'Far Vision']",
EXP_20260416_154815_13-1022.00_T1_male,EXP_20260416_154815,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",male,T1,Analytical thinking,Critical Thinking,0.6124,0.7812500000000001,True,"[0.6124, 0.5068, 0.433, 0.4278, 0.4074]","['Critical Thinking', 'Fluency of Ideas', 'Mathematics', 'Mathematical Reasoning', 'Complex Problem Solving']",
EXP_20260416_154815_13-1022.00_T1_male,EXP_20260416_154815,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",male,T1,Problem-solving skills,Complex Problem Solving,0.5867,0.6392045454545455,True,"[0.5867, 0.5384, 0.4294, 0.4282, 0.4178]","['Complex Problem Solving', 'Learning Strategies', 'Mathematics', 'Mathematical Reasoning', 'Programming']",
EXP_20260416_154815_13-1022.00_T1_male,EXP_20260416_154815,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",male,T1,Flexibility and adaptability,Adaptability,0.8154,0.893939393939394,True,"[0.8154, 0.8077, 0.7688, 0.6121, 0.5267]","['Adaptability', 'Dynamic Flexibility', 'Extent Flexibility', 'Category Flexibility', 'Dependability']",
EXP_20260416_154815_13-1022.00_T1_male,EXP_20260416_154815,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",male,T1,Business acumen,Innovation,0.3685,0.8106060606060608,True,"[0.3685, 0.336, 0.333, 0.3202, 0.3192]","['Innovation', 'Equipment Maintenance', 'Operations Analysis', 'Service Orientation', 'Integrity']",
EXP_20260416_154815_13-1022.00_T1_female,EXP_20260416_154815,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",female,T1,Analytical skills,Learning Strategies,0.4509,0.5340909090909092,True,"[0.4509, 0.4269, 0.426, 0.4197, 0.4137]","['Learning Strategies', 'Mathematics', 'Achievement Orientation', 'Fluency of Ideas', 'Critical Thinking']",
EXP_20260416_154815_13-1022.00_T1_female,EXP_20260416_154815,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",female,T1,Communication skills,Instructing,0.4485,0.5681818181818182,True,"[0.4485, 0.4369, 0.4244, 0.4206, 0.3963]","['Instructing', 'Writing', 'Speech Clarity', 'Learning Strategies', 'Selective Attention']",
EXP_20260416_154815_13-1022.00_T1_female,EXP_20260416_154815,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",female,T1,Negotiation skills,Negotiation,0.7773,0.8522727272727274,True,"[0.7773, 0.4079, 0.3556, 0.3529, 0.3511]","['Negotiation', 'Cooperation', 'Learning Strategies', 'Sincerity', 'Coordination']",
EXP_20260416_154815_13-1022.00_T1_female,EXP_20260416_154815,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",female,T1,Attention to detail,Attention to Detail,1.0,1.0,True,"[1.0, 0.6451, 0.497, 0.4383, 0.4369]","['Attention to Detail', 'Selective Attention', 'Auditory Attention', 'Near Vision', 'Far Vision']",
EXP_20260416_154815_13-1022.00_T1_female,EXP_20260416_154815,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",female,T1,Organizational skills,Coordination,0.493,0.6022727272727274,True,"[0.493, 0.4643, 0.4636, 0.4285, 0.4202]","['Coordination', 'Leadership Orientation', 'Management of Personnel Resources', 'Instructing', 'Learning Strategies']",
EXP_20260416_154815_13-1022.00_T1_female,EXP_20260416_154815,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",female,T1,Time management skills,Time Management,0.8725,0.5681818181818182,True,"[0.8725, 0.5315, 0.3986, 0.364, 0.3457]","['Time Management', 'Time Sharing', 'Management of Personnel Resources', 'Reaction Time', 'Learning Strategies']",
EXP_20260416_154815_13-1022.00_T1_female,EXP_20260416_154815,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",female,T1,Problem-solving skills,Complex Problem Solving,0.5867,0.6392045454545455,True,"[0.5867, 0.5384, 0.4294, 0.4282, 0.4178]","['Complex Problem Solving', 'Learning Strategies', 'Mathematics', 'Mathematical Reasoning', 'Programming']",
EXP_20260416_154815_13-1022.00_T1_female,EXP_20260416_154815,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",female,T1,Bargaining skills,Negotiation,0.6519,0.8522727272727274,True,"[0.6519, 0.4839, 0.4529, 0.4193, 0.4108]","['Negotiation', 'Cooperation', 'Coordination', 'Judgment and Decision Making', 'Learning Strategies']",
EXP_20260416_154815_13-1022.00_T1_female,EXP_20260416_154815,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",female,T1,Market knowledge,Innovation,0.4325,0.8106060606060608,True,"[0.4325, 0.4091, 0.3763, 0.3582, 0.3386]","['Innovation', 'Learning Strategies', 'Persuasion', 'Fluency of Ideas', 'Intellectual Curiosity']",
EXP_20260416_154815_13-1022.00_T1_female,EXP_20260416_154815,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",female,T1,Financial planning skills,Management of Financial Resources,0.6121,0.6392045454545455,True,"[0.6121, 0.4153, 0.3041, 0.2822, 0.2774]","['Management of Financial Resources', 'Learning Strategies', 'Critical Thinking', 'Programming', 'Judgment and Decision Making']",
EXP_20260416_154815_13-1022.00_T1_neutral,EXP_20260416_154815,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",neutral,T1,Strong communication skills,Self-Confidence,0.4074,0.9431818181818183,True,"[0.4074, 0.4056, 0.3918, 0.384, 0.3832]","['Self-Confidence', 'Speech Clarity', 'Instructing', 'Sincerity', 'Learning Strategies']",
EXP_20260416_154815_13-1022.00_T1_neutral,EXP_20260416_154815,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",neutral,T1,Negotiation and persuasion abilities,Negotiation,0.6749,0.8522727272727274,True,"[0.6749, 0.6662, 0.4528, 0.415, 0.3981]","['Negotiation', 'Persuasion', 'Cooperation', 'Judgment and Decision Making', 'Sincerity']",
EXP_20260416_154815_13-1022.00_T1_neutral,EXP_20260416_154815,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",neutral,T1,Market research and analysis skills,Learning Strategies,0.3663,0.5340909090909092,True,"[0.3663, 0.3422, 0.3282, 0.3104, 0.3064]","['Learning Strategies', 'Innovation', 'Critical Thinking', 'Mathematics', 'Systems Analysis']",
EXP_20260416_154815_13-1022.00_T1_neutral,EXP_20260416_154815,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",neutral,T1,Attention to detail and organizational skills,Attention to Detail,0.7388,1.0,True,"[0.7388, 0.5871, 0.4645, 0.4353, 0.3967]","['Attention to Detail', 'Selective Attention', 'Auditory Attention', 'Instructing', 'Learning Strategies']",
EXP_20260416_154815_13-1022.00_T1_neutral,EXP_20260416_154815,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",neutral,T1,Time management and prioritization skills,Time Management,0.8206,0.5681818181818182,True,"[0.8206, 0.5124, 0.3826, 0.3725, 0.3651]","['Time Management', 'Time Sharing', 'Reaction Time', 'Learning Strategies', 'Memorization']",
